ID,Credit Given,Gender,Education,Marital Status,Age,Pay Stat M1,Bill Amt M1,Amt Paid M1,Pay Stat M2,Bill Amt M2,Amt Paid M2,Pay Stat M3,Bill Amt M3,Amt Paid M3,Default Next Month
CC-071,80000,Male,Graduate School,Never Married,31,-1,390,390,-1,390,390,-1,390,390,No
CC-072,320000,Male,University,Never Married,29,2,58622,4800,2,62307,2400,2,63526,1600,Yes
CC-073,200000,Female,University,Married,32,-1,5247,17,2,3848,3165,-1,3151,1395,No
CC-074,290000,Female,Graduate School,Never Married,37,-1,0,2359,-1,2359,0,-1,0,0,No
CC-075,340000,Male,Graduate School,Never Married,32,-1,4291,80552,-1,80153,25949,-1,25820,2016,No
CC-076,20000,Male,University,Never Married,24,0,16976,630,0,17332,1500,0,18543,0,No
CC-077,50000,Male,High School,Never Married,25,0,9636,500,0,9590,1000,0,10030,1000,No
CC-078,300000,Female,Graduate School,Married,45,-1,291,291,-1,291,291,-1,291,291,No
CC-079,30000,Female,University,Never Married,22,0,28004,3000,0,26446,1765,0,6411,0,Yes
CC-081,470000,Female,High School,Others,33,0,69923,960,0,29271,1000,0,29889,3000,No
CC-082,360000,Female,Graduate School,Never Married,26,0,33100,146900,0,180000,196,-1,196,2963,No
CC-083,60000,Male,High School,Never Married,30,0,21993,768,0,19899,1140,0,19771,0,Yes
CC-084,400000,Female,University,Married,44,0,104430,3000,0,104990,3200,0,94058,2800,No
CC-085,50000,Female,High School,Never Married,49,0,20414,699,0,19342,849,0,19482,826,No
CC-086,160000,Male,University,Never Married,33,0,118418,4500,0,118407,4800,0,120418,4500,No
CC-087,360000,Female,Graduate School,Married,45,0,390,390,-1,390,390,-1,390,390,Yes
CC-088,,Female,University,Never Married,32,0,8604,0,0,7072,766,-1,766,2303,No
CC-089,130000,Female,Graduate School,Married,35,-1,1330,7095,-1,7095,1190,-1,1190,2090,No
CC-090,20000,Male,High School,Never Married,44,0,10488,2000,0,12314,0,2,11970,1500,No
CC-091,200000,Male,Graduate School,Married,53,2,144098,5500,2,147124,5000,2,149531,5000,Yes
CC-095,60000,Female,University,Never Married,23,0,19595,690,0,19209,816,0,19323,835,No
CC-096,90000,Male,University,Never Married,35,0,35565,1112,0,30942,1104,0,30835,1143,No
CC-097,360000,Male,Graduate School,Married,43,-1,6451,27000,-1,26370,0,0,9956,68978,No
CC-098,,Male,Graduate School,Never Married,27,0,89775,4040,0,87725,1698,0,40788,800,No
CC-099,50000,Female,High School,Married,22,0,13150,281,0,8866,321,0,7899,197,No
CC-100,20000,Male,University,Married,38,0,18240,1750,0,17928,150,-1,150,0,Yes
CC-102,380000,,Graduate School,Never Married,30,0,32891,1197,0,33564,1250,0,34056,5000,No
CC-103,480000,Male,Graduate School,Married,63,2,487066,0,2,471145,18000,0,469961,24200,No
CC-104,50000,Female,High School,Never Married,22,0,32496,840,0,23477,995,0,24094,904,Yes
CC-105,60000,Female,University,Never Married,26,2,60218,6,2,55447,3000,0,55305,3000,No
CC-107,80000,Female,University,Married,36,-1,3319,1150,-1,1150,1150,-1,1150,1035,No
CC-108,350000,Male,Graduate School,Never Married,52,-1,867,1150,-1,1150,5263,-1,5263,5011,No
CC-109,130000,Male,University,Never Married,38,-1,120483,4566,-1,44127,133841,-1,126568,4796,No
CC-111,330000,Female,Graduate School,Married,31,0,105896,4100,0,106491,15794,0,107289,0,No
CC-112,50000,Male,High School,Married,47,0,15928,1000,0,16671,1000,0,17393,1000,No
CC-113,280000,Male,University,Married,41,2,144401,14850,2,152174,0,3,149415,5000,No
CC-114,100000,Female,Graduate School,Never Married,24,0,56076,5080,0,60100,3000,0,59713,2033,No
CC-115,50000,Male,University,Never Married,41,0,20274,718,0,20311,724,0,19957,684,No
CC-116,30000,Male,Graduate School,Never Married,24,0,21319,0,3,20692,1000,2,21201,1000,Yes
CC-117,240000,Male,Graduate School,Never Married,28,-1,5676,476,-1,476,326,-1,326,526,No
CC-118,80000,Male,University,Never Married,26,0,17055,1000,0,17629,1000,0,18186,1000,Yes
CC-119,400000,Male,University,Married,34,-1,7839,14837,-1,14837,7959,-1,7959,5712,No
CC-120,240000,Female,University,Never Married,38,0,52479,1307,-1,1307,1203,-1,1203,563,No
CC-121,50000,Male,High School,Never Married,37,3,48851,1400,2,49318,2800,2,51143,0,Yes
CC-124,310000,Female,University,Married,35,0,258610,8599,0,246491,6833,0,198889,5987,Yes
CC-125,20000,Male,Graduate School,Never Married,27,0,19378,861,0,19717,313,0,15630,0,No
CC-127,200000,Male,High School,Never Married,52,0,100914,3848,0,103146,3669,0,104993,3784,No
CC-128,,Male,Graduate School,Married,36,0,95766,2142,0,97753,2217,0,95927,1000,Yes
CC-129,50000,Male,University,Married,51,0,5347,1500,0,6375,1200,0,7077,134,Yes
CC-130,60000,Male,High School,Married,55,0,28853,1200,0,29510,1100,0,26547,1500,No
CC-132,240000,Male,Graduate School,,41,0,3164,360,0,360,1737,-1,1737,924,No
CC-133,420000,Male,University,Married,34,0,220951,7830,0,210606,7253,0,188108,11326,No
CC-134,330000,Male,High School,Married,46,0,227587,8175,0,227775,8391,0,228203,8200,No
CC-135,30000,Female,University,Never Married,22,0,25350,500,0,17603,0,0,-780,1560,No
CC-136,240000,Male,University,Married,34,2,13269,1000,2,14158,0,2,13891,327,No
CC-137,150000,Male,Graduate School,Never Married,27,0,24614,3000,0,27200,3500,0,30229,5000,No
CC-138,210000,Female,University,Married,33,0,9189,500,0,4404,2000,0,5708,546,No
CC-140,50000,Male,Graduate School,Never Married,24,0,19430,900,0,19375,870,0,18995,2130,No
CC-142,180000,Male,University,Never Married,28,-1,332,500,-1,416,3500,-1,416,832,No
CC-143,50000,Male,University,Never Married,23,2,19996,700,0,19879,800,0,18065,600,No
CC-145,20000,Male,Graduate School,Never Married,29,-1,2340,4702,0,6702,339,-1,339,330,No
CC-146,50000,Male,Graduate School,Never Married,28,0,9195,1583,0,10624,1100,3,10138,0,No
CC-147,170000,Female,University,Never Married,27,0,17560,358,0,17918,182,0,9100,0,Yes
CC-148,200000,Male,Graduate School,Never Married,34,0,135668,5000,0,132233,5000,0,59875,8500,No
CC-149,80000,Female,University,Married,23,2,9898,379,0,10123,2091,0,12034,1,No
CC-150,260000,Female,Graduate School,Married,60,-1,0,969,-1,969,1000,-1,869,0,No
CC-151,,Male,University,Married,32,0,64648,0,2,58319,2100,0,55251,2602,No
CC-152,80000,Male,Graduate School,Never Married,25,0,41087,8000,0,41951,2000,0,31826,14000,No
CC-154,280000,Female,University,Married,56,0,101783,100000,0,177145,7000,0,169311,6321,No
CC-155,30000,Female,High School,Never Married,26,0,11935,1500,0,13084,1500,0,14206,1500,No
CC-156,140000,Male,Graduate School,Married,34,0,43129,5000,0,47086,3000,0,48699,5504,No
CC-157,200000,Female,Graduate School,Never Married,37,0,90938,3500,0,92505,3560,0,94031,5000,No
CC-158,200000,Female,High School,Never Married,30,0,167163,6200,0,146975,5000,0,122324,4500,No
CC-159,210000,Male,High School,Married,45,>3,137277,11078,>3,145533,11678,>3,154105,10478,Yes
CC-160,50000,Male,High School,Married,57,0,13427,500,0,13711,600,0,14083,600,No
CC-161,30000,Male,Graduate School,Never Married,41,2,28168,0,2,27579,1200,0,28321,1250,No
CC-162,50000,Male,University,Never Married,27,-1,216,864,-1,1080,0,2,540,390,No
CC-163,290000,Male,High School,Married,47,-1,792,0,0,396,423,-1,423,369,No
CC-164,250000,Female,Graduate School,Married,34,0,152803,5656,0,155997,6811,0,160220,3920,No
CC-165,60000,Female,University,Married,46,0,26034,1000,0,26655,1500,0,27756,1500,No
CC-166,110000,Female,Graduate School,Never Married,27,0,74737,2900,0,76058,3000,0,77254,2800,No
CC-168,100000,Male,University,Married,27,0,29336,1398,0,22979,12,0,-246,50000,No
CC-169,90000,Female,University,Married,35,0,77317,10000,0,85852,4000,2,88290,0,No
CC-170,50000,Female,University,Never Married,22,0,27737,1017,0,28318,1277,0,28806,567,No
CC-171,270000,Male,University,Never Married,37,0,27598,4000,0,26344,3000,0,24641,2000,No
CC-172,300000,Female,Graduate School,Never Married,30,-1,4340,2672,-1,2672,800,-1,800,746,No
CC-173,50000,Female,University,Never Married,22,0,7457,0,0,3115,5000,0,7725,10000,No
CC-176,130000,Male,High School,Married,56,2,68557,5500,2,72796,0,3,71345,0,Yes
CC-177,80000,Male,Graduate School,Never Married,30,0,1438,500,0,1919,3500,0,5380,0,No
CC-178,50000,Male,University,Never Married,30,0,30221,2000,0,22877,0,2,22361,2000,No
CC-179,20000,Female,University,Never Married,22,0,13130,1500,0,14034,1500,0,14906,1000,No
CC-180,80000,Female,University,Married,29,0,61467,400,0,10662,1000,0,11486,0,No
CC-181,240000,Male,Graduate School,Never Married,37,0,26605,0,0,26279,1256,-1,1256,65935,No
CC-182,80000,Female,High School,Never Married,35,0,17364,2000,0,17770,3000,0,17460,2000,No
CC-183,500000,Female,Graduate School,Married,47,0,122967,20000,0,108834,52183,0,70064,20000,No
CC-184,60000,Female,University,Married,24,0,18971,1000,0,19323,737,0,19395,2000,Yes
CC-185,20000,Male,University,Never Married,25,0,12280,135,0,1615,1824,-1,1620,0,No
CC-186,100000,Female,University,Married,38,0,16268,0,2,15868,1000,0,16448,1500,Yes
CC-187,360000,Female,Graduate School,Never Married,32,-1,68445,13889,-1,13881,16250,-1,16240,38313,No
CC-188,200000,Female,High School,Never Married,47,2,196186,7134,2,200162,0,2,189915,6836,Yes
CC-189,130000,Female,University,Married,34,0,13576,501,0,13864,1000,0,14636,2000,No
CC-190,20000,Female,University,Never Married,31,>3,20835,0,3,20219,760,2,20487,0,No
CC-191,310000,Male,Graduate School,Never Married,32,0,65875,5028,0,60387,5060,0,43328,4223,No
CC-192,60000,Female,Graduate School,Never Married,27,0,23005,0,2,22499,900,0,22873,846,Yes
CC-195,50000,Male,University,Married,36,0,-14,500,-1,72,1000,-1,658,20011,No
CC-196,50000,Female,Graduate School,Never Married,24,2,38462,1532,2,39228,1600,2,40035,0,Yes
CC-198,20000,Female,Graduate School,Never Married,22,0,8332,20000,-1,18868,693,0,19247,1000,No
CC-199,500000,Female,Graduate School,Married,34,-1,1251,1206,-1,1206,1151,-1,1151,15816,No
CC-200,30000,Female,High School,Never Married,22,0,29836,104,0,1630,0,0,0,0,Yes
CC-202,140000,Male,Graduate School,Never Married,31,0,20225,7800,0,27407,0,2,10833,2500,No
CC-203,140000,Female,Graduate School,Never Married,26,-1,5818,13506,-1,13506,487,-1,487,7004,No
CC-204,120000,Male,University,Never Married,26,0,116000,5000,0,119131,5000,0,122135,5000,No
CC-205,360000,Female,University,Married,48,0,190211,5600,0,173557,5600,0,146511,4100,No
CC-206,20000,Male,High School,Married,43,0,19339,1459,0,19450,3457,0,19337,1700,No
CC-207,100000,Male,Graduate School,Married,47,-1,390,390,-1,390,0,-1,0,2380,No
CC-208,210000,Female,University,Married,41,-1,3763,877,-1,877,0,-1,0,419,Yes
CC-209,80000,Female,University,Never Married,24,0,49552,2000,0,49509,1800,0,49568,1800,Yes
CC-211,220000,Male,Graduate School,Never Married,24,-1,8303,0,-1,0,85632,-1,85632,0,No
CC-212,210000,Female,Graduate School,Married,38,0,123,789,-1,789,1222,-1,1222,9616,Yes
CC-213,40000,Female,High School,Married,43,0,36207,1500,0,33138,1500,0,31339,1000,No
CC-214,30000,Male,University,Never Married,39,2,12992,1000,0,7736,2000,0,8032,148,No
CC-215,470000,Male,University,Never Married,27,2,479978,10484,0,305145,10838,0,309959,10367,No
CC-216,30000,Male,High School,Married,42,-1,240,1470,-1,1320,0,2,780,0,No
CC-218,80000,Male,,Never Married,36,0,80016,3000,0,76235,3500,0,78245,3000,No
CC-219,110000,Female,High School,Others,31,0,73315,3000,0,63818,3000,0,63208,8954,No
CC-221,360000,Female,Graduate School,Married,40,0,114690,5000,0,117845,4500,0,120238,4700,Yes
CC-222,330000,Female,High School,Never Married,45,0,333860,12450,0,335760,12213,0,330121,11678,No
CC-223,300000,,University,Never Married,35,0,215827,12000,0,208464,9557,0,212508,15000,No
CC-224,320000,Female,University,,33,0,65913,2076,0,43805,5045,0,33263,3754,No
CC-225,50000,Female,High School,Never Married,37,0,30394,1000,0,30249,1201,0,29957,30592,Yes
CC-226,170000,,Graduate School,Never Married,28,0,125514,4820,0,127280,4877,0,128839,4962,No
CC-228,20000,Male,University,Married,37,0,18768,676,0,18650,834,0,19175,782,No
CC-229,50000,Male,University,Never Married,23,0,21247,704,0,20066,707,0,18858,1004,Yes
CC-230,20000,Female,High School,Never Married,24,0,7630,100,0,1730,0,0,0,3200,No
CC-231,50000,Female,Graduate School,Never Married,24,0,19420,238,0,10385,1011,0,1308,389,No
CC-232,20000,Male,University,Never Married,23,0,16875,0,2,13454,1000,0,10104,10000,Yes
CC-233,50000,Male,University,Married,26,-1,2624,45567,-1,45567,1747,0,46557,2000,No
CC-234,190000,Male,University,Never Married,34,0,142323,0,2,140120,12118,2,150052,2769,Yes
CC-235,60000,Female,University,Married,33,0,20694,721,0,20175,811,0,19421,599,No
CC-236,80000,Male,Graduate School,Never Married,35,-1,1719,1378,-1,1378,19942,-1,19942,2418,No
CC-237,150000,Female,University,Never Married,27,0,44384,1208,0,36900,1077,0,29497,2529,No
CC-239,240000,Female,High School,Married,50,0,207642,8000,0,210375,8009,0,214694,7714,Yes
CC-240,140000,Female,University,Others,41,0,19068,1000,0,16409,3000,0,16383,2399,Yes
CC-242,50000,Male,Graduate School,Never Married,39,0,50803,2000,0,30789,2000,0,15874,2000,No
CC-243,50000,Female,University,Never Married,27,0,27990,1200,0,28790,1200,0,29399,1100,No
CC-244,180000,Female,Graduate School,Never Married,32,2,0,2821,-1,2821,0,-1,0,176,No
CC-245,30000,Female,Graduate School,Never Married,40,2,19,0,2,19,60,2,79,60,No
CC-247,250000,Female,University,Married,75,-1,1010,5572,-1,5572,794,-1,794,1184,No
CC-248,100000,Female,University,Never Married,27,0,30337,1150,0,30997,2423,0,32904,0,No
CC-249,330000,Male,Graduate School,Never Married,25,0,51137,74,2,39450,1023,0,25358,2566,No
CC-250,50000,Male,High School,Married,46,0,16418,611,0,16765,1000,0,17484,2000,No
CC-251,50000,Female,University,Never Married,26,0,30115,2002,0,29527,2005,0,29998,3003,No
CC-252,30000,Male,University,Never Married,28,0,25255,955,0,22001,0,0,0,0,No
CC-253,140000,Female,University,Never Married,26,0,105334,3894,0,107699,3785,0,106828,3304,Yes
CC-254,160000,Female,Graduate School,Never Married,28,0,7222,99669,-1,99669,12600,0,84426,10000,No
CC-255,400000,Female,University,Never Married,29,-1,4944,1905,-1,1896,2494,-1,2486,862,No
CC-256,50000,Male,University,Married,25,0,29928,994,0,29533,1024,0,28538,886,No
CC-257,140000,Female,University,Married,48,-1,1355,1130,-1,1130,21361,-1,21361,1347,No
CC-258,160000,Female,University,Married,33,-1,52572,1546,0,7333,2210,-1,2210,0,No
CC-260,220000,Male,Graduate School,Married,48,0,169115,5500,0,172169,6000,0,162402,5500,Yes
CC-261,510000,Female,Graduate School,Never Married,29,0,103776,5001,0,87265,25365,0,36739,65000,No
CC-262,50000,Male,University,Never Married,29,0,27823,3130,0,29130,1062,0,28309,6318,No
CC-263,160000,Female,Graduate School,Married,38,-1,18941,0,2,16578,12652,-1,12652,1916,No
CC-265,80000,Female,Graduate School,Never Married,37,-1,188,1644,-1,1644,16872,-1,16872,4000,No
CC-266,,Female,University,Married,25,-1,316,316,-1,316,316,-1,316,316,No
CC-267,10000,Male,High School,Never Married,23,0,9182,847,0,9729,0,2,9411,175,No
CC-268,130000,Female,High School,Never Married,49,0,49654,561,0,28065,600,0,27500,0,Yes
CC-269,40000,Female,Graduate School,Never Married,48,0,34586,1500,0,34762,1500,0,35673,1500,No
CC-270,50000,Male,University,Never Married,27,0,13968,501,0,14319,2614,-1,2614,1390,Yes
CC-271,100000,Male,High School,Never Married,32,0,19713,2007,0,19848,1009,0,18126,2015,No
CC-272,120000,Male,Graduate School,Married,34,0,900,0,0,450,0,0,0,450,No
CC-274,200000,Female,University,Never Married,33,0,14512,2000,0,16325,1200,0,11905,3000,No
CC-276,70000,Female,University,Never Married,36,0,30163,3000,0,14310,3000,0,15085,2000,No
CC-277,460000,Male,Graduate School,Married,40,-1,2641,0,-1,-10,22545,-1,22535,0,Yes
CC-278,50000,Female,Graduate School,Never Married,26,-1,316,316,-1,316,316,-1,316,316,No
CC-279,50000,Male,High School,Married,33,0,20046,707,0,20067,703,0,19703,697,No
CC-280,250000,Female,University,Married,31,0,99029,4000,0,100871,5000,0,101299,4400,No
CC-282,270000,Male,University,Married,44,0,69669,44299,-1,44149,43509,-1,43414,31031,No
CC-283,180000,Female,High School,Never Married,30,0,122196,3605,0,103692,3000,0,70204,3211,No
CC-284,100000,Female,Graduate School,Never Married,28,0,52336,5000,0,55831,3000,0,56265,3000,No
CC-285,230000,Female,High School,Married,32,0,94814,5000,0,98182,4000,0,98457,5000,No
CC-286,210000,Female,Graduate School,Married,46,-1,20076,16171,-1,16171,586,-1,586,19777,No
CC-287,210000,Male,Graduate School,Never Married,38,0,62683,2000,0,63663,2000,0,46549,2502,No
CC-288,440000,Female,University,Married,46,0,113135,3800,0,105280,4001,0,97622,2701,No
CC-289,100000,Female,University,Never Married,25,0,69856,2127,0,69718,1960,0,51365,1559,Yes
CC-290,240000,Female,University,Married,46,0,10765,1000,0,11765,1000,0,4311,1000,No
CC-291,280000,Male,Graduate School,Never Married,33,-1,898,325,-1,325,0,-1,-339603,345293,Yes
CC-293,30000,Male,University,Married,43,2,2182,0,2,2000,600,2,2566,0,No
CC-294,10000,Male,University,Never Married,27,0,9901,370,0,9963,393,0,10182,700,Yes
CC-296,200000,Male,Graduate School,Never Married,31,0,133345,4804,0,133634,5141,0,133990,5300,No
CC-297,120000,Female,University,Married,29,-1,1423,0,-1,0,1820,-1,1820,2496,No
CC-298,210000,Female,University,Married,36,0,148190,5900,0,147993,4544,0,131629,4700,No
CC-299,280000,Female,Graduate School,Married,36,0,29701,1100,0,30172,1100,0,30771,2000,No
CC-300,300000,Male,Graduate School,Never Married,34,0,12601,19595,-1,19595,203,-1,203,0,Yes
CC-301,100000,Male,University,Never Married,37,0,66926,2365,0,66796,2497,0,64513,2305,No
CC-303,50000,Female,High School,Married,40,0,12898,1000,0,13687,1000,0,14458,1000,No
CC-304,20000,,Graduate School,Never Married,25,0,15824,1700,0,15761,1000,0,12510,2000,Yes
CC-305,200000,Female,Graduate School,Never Married,27,0,4242,1014,0,4084,3500,0,7414,2880,No
CC-307,500000,Female,University,Married,36,-1,8500,4590,-1,4590,0,-1,0,0,No
CC-309,30000,Male,High School,Married,55,3,12841,1500,3,13836,1500,>3,14514,1500,Yes
CC-310,60000,Female,Graduate School,Never Married,27,-1,4889,273,-1,273,13557,-1,11736,0,No
CC-311,400000,Female,University,Married,38,-1,5322,6,0,5103,2386,-1,2077,9085,No
CC-312,180000,Female,University,Married,34,0,127814,4900,0,130331,5000,0,132845,5100,No
CC-313,20000,Male,Graduate School,Never Married,40,2,10411,3000,0,13057,1500,0,14340,0,No
CC-314,200000,Female,High School,Married,49,2,54723,5000,0,58657,2286,0,59983,3000,Yes
CC-315,100000,Male,Graduate School,Never Married,27,0,28776,645,0,17580,909,0,6441,200,No
CC-316,60000,Male,University,Never Married,23,0,17277,809,0,17808,2000,0,19346,616,Yes
CC-317,110000,Female,University,Never Married,36,0,50894,2100,0,52175,2500,0,53652,2200,No
CC-319,50000,Female,High School,Married,46,0,29742,1030,0,29898,863,0,24883,654,No
CC-321,110000,Male,University,Never Married,29,0,48647,2000,0,47862,1854,0,47969,2000,Yes
CC-322,340000,Female,Graduate School,Never Married,27,0,155628,5849,0,145645,2732,0,103263,50000,No
CC-323,50000,Male,University,Never Married,24,0,7476,2477,0,8384,1306,0,8085,1000,No
CC-325,360000,Female,University,Never Married,32,0,95631,10000,0,100123,10000,0,100738,10000,No
CC-326,210000,Male,University,Never Married,43,0,40555,5000,0,45075,3000,0,37056,3000,No
CC-327,220000,Female,University,Married,41,-1,950,0,2,475,325,-1,325,325,Yes
CC-328,60000,Female,University,Married,34,2,30184,0,2,29566,1300,0,30225,1291,Yes
CC-330,150000,Male,Graduate School,Married,40,2,104975,4000,2,107147,4200,2,109428,4200,No
CC-331,200000,Female,University,Married,37,-1,6773,24000,-1,23209,17000,-1,16893,2500,Yes
CC-332,130000,Female,University,Never Married,40,0,9826,500,0,10167,2700,0,12685,500,Yes
CC-333,60000,Female,Graduate School,Never Married,28,0,11427,10000,0,20973,11540,0,31857,7000,No
CC-335,20000,Male,Graduate School,Never Married,27,0,19453,700,0,19108,674,0,18868,376,No
CC-336,190000,Female,Graduate School,Never Married,28,0,153538,5753,0,156664,6370,0,160361,5865,No
CC-337,260000,Female,Graduate School,Never Married,30,0,158114,7000,0,158762,7000,0,159108,6000,No
CC-339,50000,Female,University,Married,31,0,30929,1073,0,30078,1046,0,29170,1047,Yes
CC-340,120000,Female,Graduate School,Never Married,34,-1,1100,1330,-1,1330,3800,-1,830,2037,No
CC-342,50000,Male,University,Never Married,36,0,680,978,-1,978,0,0,978,0,No
CC-343,200000,Female,Graduate School,Never Married,29,-1,20183,5000,-1,24815,0,2,24248,1000,No
CC-344,180000,Male,Graduate School,Married,39,0,122295,0,0,-1005,101005,-1,1005,1898,No
CC-345,180000,Female,Graduate School,Never Married,26,0,105894,4106,0,108248,4250,0,106517,4028,No
CC-346,160000,Female,Graduate School,Never Married,29,-1,2303,5000,0,6182,1500,0,1654,13000,No
CC-347,100000,Female,University,Never Married,26,0,3542,1080,0,1980,2000,0,3980,1525,No
CC-348,50000,Female,University,Never Married,29,0,45545,2000,0,39963,2000,0,41145,2000,Yes
CC-349,140000,Female,University,Never Married,31,0,139679,5300,0,141748,6000,0,142174,5000,No
CC-350,30000,Female,University,Never Married,26,0,20222,795,0,20796,715,0,19844,1000,Yes
CC-351,90000,Male,Graduate School,Never Married,26,0,1940,0,0,0,23101,-1,23101,3000,No
CC-354,80000,Female,University,Never Married,43,0,51042,1691,0,19036,695,0,19414,882,No
CC-355,50000,Male,High School,Married,58,0,18530,1001,0,19089,634,2,18856,638,No
CC-356,180000,Male,University,Married,45,0,29981,1200,0,30419,1500,0,31127,1500,Yes
CC-357,240000,Female,University,Never Married,26,0,113133,4000,0,113966,3825,0,103360,3520,No
CC-358,380000,Male,University,Never Married,34,0,174675,6000,0,171253,5000,0,169121,4400,No
